id,fingerprint,severity,category,file,line,excerpt,issue,blast_radius,fix_cost_lines,risk,score,status
Q011,58433b47,P2,deadcode,app/lib/cartography/isoline_model.py,91,def generate_contour_features_from_grid(,287-line module with no app-runtime callers; only its own tests,2,2,1,1.92,open
Q012,39371711,P2,deadcode,app/lib/cartography/design_system.py,34,def build_design_system_manifest(),whole 313-line module orphan; zero imports of MapModelRequirement/DESIGN_SYSTEM_SCHEMA_VERSION anywhere,2,2,1,1.92,open
Q013,44ec436c,P2,deadcode,app/lib/cartography/component_composer.py,357,def required_components_for(,zero callers repo-wide; autofill/placeholder pathway unreachable,2,2,1,1.92,open
Q014,318c2e91,P2,deadcode,app/lib/cartography/layout_description.py,88,def bounds_contained(,bounds_contained + frame_aspect_wh zero refs; runtime builder never sets mask_extent/export_extent/meters_per_pixel so extent contract half unreachable,2,4,1,1.85,open
Q015,29dc0647,P2,correctness,app/lib/cartography/component_composer.py,221,"occupants = sorted(loads.get(zone, []), key=lambda c: (c.priority, c.id))","plan_layout_repairs docstring says keep (priority desc, id asc) but code sorts ascending - docstring and behavior disagree on which components survive",3,2,1,2.88,open
Q016,dda92b22,P2,correctness,app/lib/cartography/dot_density.py,47,return int(round(value / unit_value)),docstring demands round-half-up but Python round is banker's: exact .5 cell yields 0 dots; live caller analysis_cartography_converter.py:312,3,2,1,2.88,open
Q017,c034fc36,P2,correctness,app/lib/cartography/isoline_model.py,65,"return [cleaned[0], cleaned[0] + 1.0]","fabricates synthetic second contour level for single explicit level, contradicting 'Preserves explicit user levels exactly' docstring",2,3,1,1.89,open
Q018,797ac08e,P2,correctness,app/lib/cartography/component_composer.py,247,else floating_overlap_pairs(components)):,components consumed by _normalize(:196) then re-iterated (:247); generator input silently yields no floating-overlap actions,2,3,1,1.89,open
Q019,17d5f74d,P2,resource,app/lib/cartography/pdf_renderer.py,41,fm.fontManager.addfont(str(_VENDORED_FONT)),_register_vendored_cjk_font re-registers font on every generate_map_pdf; ttflist grows unbounded in long-lived API process,5,3,1,4.72,open
Q020,dca84461,P2,hardcoding,app/lib/cartography/semantic_checks.py,2597,"canvas = CanvasSpec(width=1280, height=720)",COMPONENT_OUTSIDE_CANVAS keyed to magic 1280x720 viewport; wrong for any other canvas size,4,3,1,3.77,open
Q021,6825dd3c,P2,correctness,app/lib/cartography/pdf_renderer.py,98,"frac = min(bar_px / frame_w, 0.4)",scale bar silently shortened past 40% cap while keeping original distance label - drawn bar no longer matches label,2,4,1,1.85,open
Q022,5495c8e9,P1,correctness,app/lib/cartography/symbology.py,246,f-string: 分布证据不反对（skew={skew:.0%}）,TypeError: _skew_ratio returns None (median<=0) and template classifier exists -> format None with .0% crashes resolve_symbology (7 live call sites),8,2,1,23.08,open
Q023,801cefce,P1,error-handling,app/lib/cartography/component_registry.py,1063,except Exception: pass,"_validate_inner wraps entire body incl renderer matrix check in bare swallow -> validate() fails open returning 0 issues, violating fail-closed contract at :1008",6,2,1,17.31,open
Q024,8375c6e4,P2,hardcoding,app/lib/cartography/selfheal_actions.py,437,"if method not in (quantiles, equal_interval, natural_breaks, head_tail):",allowlist omits registered classifier std_dev (model_library.py:86); std_dev self-heal candidates from model packs always dropped,5,2,1,4.81,open
Q025,446e9d78,P2,correctness,app/lib/cartography/selfheal_actions.py,303,"for stop, color in zip(paint_spec.get(stops) or [], rest):","zip silently truncates paint stops beyond legend color count -> partial palette rotation, guaranteed-fail LEGEND_STYLE_EQUIVALENCE commit path",3,3,1,2.83,open
Q026,24a8058c,P2,correctness,app/lib/cartography/runtime_repair.py,128,and (layer.get(layout) or {}).get(visibility) != none,truthy non-dict layout raises AttributeError; sibling code isinstance-guards,3,2,1,2.88,open
Q027,1e6117c2,P2,correctness,app/lib/cartography/component_registry.py,858,"return hits[: max(1, min(limit, 16))]",limit=0/negative returns 1 result instead of none; same clamp in recommend(:986),2,2,1,1.92,open
Q028,6b99e28a,P2,error-handling,app/lib/cartography/svg_marginalia.py,114,except Exception: return None,"meters_per_pixel swallows all exceptions -> render_scale_bar silently omitted with no diagnostic; graticule/inset disclose, scale bar does not",3,3,1,2.83,open
Q029,ef18ed49,P2,correctness,app/lib/cartography/visualization_plan.py,103,docstring: 强右偏（skew_ratio ≥ 0.12...,docstring documents heavy-tail threshold 0.12 while implemented constant is 0.5 (:86),2,1,1,1.96,open
Q030,c084d5a8,P2,deadcode,app/lib/cartography/component_registry.py,928,if role_hits > 1:,unreachable: role_hits incremented at most once,1,1,1,0.98,open
Q031,9d86afed,P2,deadcode,app/lib/cartography/component_registry.py,739,"def by_output_target(self, output: str)",zero callers repo-wide,1,1,1,0.98,open
Q032,32656b2c,P2,deadcode,app/lib/cartography/component_registry.py,733,"def by_map_model(self, map_model_id: str)",zero callers repo-wide,1,1,1,0.98,open
Q033,fda485ad,P2,deadcode,app/lib/cartography/model_packs/_base.py,20,_KEPLER_URL = https://docs.kepler.gl/...,_KEPLER_URL never imported (model_library keeps its own copy); duplicated URL table across two modules,1,2,1,0.96,open
Q034,78913d72,P2,deadcode,app/lib/cartography/layout_geometry.py,225,inner.y + top_h,"bare no-effect statements (:225-226), unfinished middle-band clamp",1,1,1,0.98,open
Q035,9f8c5916,P2,deadcode,app/lib/cartography/selfheal_actions.py,360,if len(best_colors) != n:,unreachable resample branch: :347-349 guarantee exact-n list,1,2,1,0.96,open
Q036,605bfd88,P2,deadcode,app/lib/cartography/template_intelligence.py,451,"constraints: Optional[Dict[str, Any]] = None,","constraints param accepted+forwarded by plan_composition/plan_composition_for_method, never read - silent no-op",2,2,1,1.92,open
Q037,1cd94854,P1,correctness,app/lib/cartography/render_scene.py,210,"idx = min(len(colors) - 1, round(t * (len(colors) - 1)))",banker's round() vs frontend twin Math.round (legend-model.ts:54) - continuous legends diverge for palettes len%4==2; declared same-semantics mirror; fix obligates full gate (render output),5,2,1,14.42,open
Q038,f3bca56d,P2,correctness,app/lib/cartography/render_scene.py,172,out = float(f{n:.{decimals}f}),_significant half-to-even vs TS Number(toFixed) (legend-card.tsx:76) - legend labels diverge on exact binary halves,3,2,1,2.88,open
Q039,860c510c,P2,correctness,app/lib/cartography/label_engine.py,350,"k = min(len(pts), max(1, int(total / (text_width * 1.5))))","font_size=0 -> text_width=0 ZeroDivisionError; export twin guards (label_collision.py:180-186), engine does not",2,2,1,1.92,open
Q040,a4eef1c0,P2,duplication,app/lib/cartography/label_collision.py,60,"a = math.fmod(a + 180.0, 360.0)",_keep_upright divergent twin of label_engine.py:252 (135deg -> 315 vs -45) despite same-semantics claim; 8 same-name groups verified (7 identical + 1 divergent),4,6,1,3.57,open
Q041,167c194e,P2,correctness,app/lib/cartography/layout_solver.py,706,placements = [q for q in placements if q.id != donor.id],V4 self-heal L4 removes donor before retry; on failure donor stays suppressed - heal can deterministically worsen layout with no warning,2,3,1,1.89,open
Q042,ba85ac64,P2,correctness,app/lib/cartography/layout_solver.py,390,"if remaining.get(zone, 0) < p.width_units:","V3 rejects non-ZONE_ORDER zones (default 0) while V2 :164 accepts (default cap 2), contradicting V2-shape-through-V3 contract; latent (schema Literal restricts zones)",1,2,1,0.96,open
Q043,7539cdb5,P2,error-handling,app/lib/cartography/component_templates.py,636,except Exception: pass,validate() swallows everything and returns [] - descriptor drift checks fail open,3,2,1,2.88,open
Q044,27b68049,P2,error-handling,app/lib/cartography/composition_selection.py,364,except Exception: return None,"_plan_for_category swallows plan_composition failures, silently drops category from candidates",3,2,1,2.88,open
Q045,719ff44a,P2,correctness,app/lib/cartography/verdict_summary.py,188,serialized = serialized[:_MAX_TOTAL_CHARS],defensive overflow hard-truncates JSON mid-structure and injects malformed JSON into LLM verdict prompt,4,3,1,3.77,open
Q046,efdf7ed6,P2,deadcode,app/lib/cartography/layout_solver.py,558,def solve_layout_v4(,V4 solver + models (~275 lines) zero production callers; V2 also test-only; only V3 exercised via golden corpus,2,3,1,1.89,open
Q047,19ae162e,P2,deadcode,app/lib/cartography/label_engine.py,408,def solve_labels(payload: LabelEngineInput),core placement engine test-only; render_diagnostics.py:64-66 itself states production zero wiring; export chain uses label_collision,2,3,1,1.89,open
Q048,4a8dbd95,P2,deadcode,app/lib/cartography/layout_solver.py,98,"def _capacity_for(zone: str, profile: str)",zero callers; equivalent inlined at :164,1,1,1,0.98,open
Q049,005cc9a1,P2,deadcode,app/lib/cartography/golden_diff.py,36,"def _clamp(color: Tuple[int, int, int])",zero callers repo-wide,1,1,1,0.98,open
Q050,f423159b,P2,deadcode,app/lib/cartography/ts_projection.py,265,mark ternary with identical branches,"dead inner ternary + unused optional_mark(:193) + always-empty doc(:269); NOTE module-level orphan claim REFUTED - it is the codegen entry for types.generated.ts, test-locked",1,2,1,0.96,open
Q051,df8e3290,P2,duplication,app/lib/cartography/render_scene.py,321,def derive_legend_title(legend_spec: Any),body duplicates _title() closure in derive_legend_items(:235-240),2,3,1,1.89,open
Q052,1f080236,P1,correctness,app/lib/cartography/thematic_spec.py,183,"raw = (f.get(properties, {}).get(field) for f in features if isinstance(f, dict))","GeoJSON feature with properties:null (valid RFC 7946) -> AttributeError .get(field) on None crashes build_graduated_spec; 5 tool call sites, user-supplied input",8,1,1,23.53,open
Q053,6d36f917,P1,correctness,app/lib/cartography/style_tokens.py,356,frac = 0.0 if len(ordered) == 1 else i / (len(ordered) - 1),"plan_palette_profile_migration remaps by ordinal rank within subset, contradicting docstring index-ratio-within-SOURCE-ramp - low-end subset spreads across full target ramp; test-only today",2,4,1,5.56,open
Q054,12ed66e5,P2,correctness,app/lib/cartography/chart_kinds.py,63,CHART_STATE_TRANSITIONS table,"transition table lacks (visible,hidden) while docstring says any state can hide and close operation targets hidden; TS twin chart-state.ts:26-37",3,2,1,2.88,open
Q055,1a61f7b1,P2,correctness,app/lib/cartography/quality_loop.py,676,status = failed_repairable if has_semantic_risk else failed_unrepairable,"when all auto_safe repairs removed by suppression/locks, loop still reports failed_unrepairable/no_auto_safe_repair - mislabels user-suppressed repairable failures",6,4,1,5.56,open
Q056,39e866af,P2,correctness,app/lib/cartography/component_graph.py,356,"seen_binding.setdefault((node.type, lk.dst), []).append(lk.src)",duplicate_binding appends without dedup: component with derived+explicit binds_to same layer counted twice -> false-positive warning evidence in production QA,4,3,1,3.77,open
Q057,4b5eb2e3,P2,correctness,app/lib/cartography/render_diagnostics.py,238,message = spec.message.format(detail=detail) if detail else spec.message,empty detail leaves raw {detail} placeholder in user-facing message; export sidecar path where detail optional; same at :481,3,3,1,2.83,open
Q058,be747bf9,P2,correctness,app/lib/cartography/extrusion_model.py,135,return spec.min_visual_height_m,invalid/all-zero stats returns unscaled min_visual_height_m while every other path returns min_h*scale_factor - inconsistent height when scale_factor!=1,3,2,1,2.88,open
Q059,fecb841b,P2,error-handling,app/lib/cartography/thematic_spec.py,220,clip_policy = none,requested clip_policy log/unrecognized silently downgraded to none with no disclosure,4,3,1,3.77,open
Q060,b02659c3,P2,hardcoding,app/lib/cartography/thematic_spec.py,198,palette = decision.palette or palette or YlOrRd,hardcoded YlOrRd/quantiles/5 fallbacks remain despite AC-03 docstring no-more-hardcoded-fallbacks; reachable when arbiter returns empty palette,3,3,1,2.83,open
Q061,41a63fe5,P2,deadcode,app/lib/cartography/layout_constraints.py,35,def resolve_collisions(components: list) -> list:,zero-caller export whose body is documented no-op stub contradicting docstring behavior,1,2,1,0.96,open
Q062,28f6cfbc,P2,deadcode,app/lib/cartography/style_tokens.py,303,def plan_palette_profile_migration(,"zero production callers, test-only",1,2,1,0.96,open
Q063,ac0dd839,P2,deadcode,app/lib/cartography/thematic_spec.py,593,def upgrade_legend_spec_v2(legend_spec: Any),"zero production callers, test-only; also never setdefaults declared v2 field context",1,2,1,0.96,open
Q064,a4a50a35,P2,duplication,app/lib/cartography/quality_loop.py,543,elif review[status] == warning and review.get(passed) is True:,review-status->loop-status mapping duplicated verbatim in repair loop (:622-633) - edit twice on any status addition,3,5,1,2.73,open
Q065,a9c4f112,P2,correctness,app/lib/cartography/chart_kinds.py,197,alias: k.id for k in CHART_KINDS ...,duplicate aliases resolve last-wins; validate_chart_kind_registry never checks alias-vs-alias collision,2,3,1,1.89,open
